Tester_ID,Module,Total_TestCases_Executed,Defects_Found,Defect_Severity_Avg,Automation_Coverage,Execution_Hours,Avg_Closure_Time
T374,Reports,81,20,4.1,88.4,7.6,12.49
T052,Notifications,142,6,,24.0,36.1,8.9
T220,Search,79,21,1.2,70.9,90.1,15.93
T188,Inventory,52,1,1.1,23.8,61.2,1.65
T398,Inventory,44,7,1.6,19.8,51.9,6.87
T061,Search,145,14,1.4,78.3,102.4,18.26
T175,Dashboard,98,3,2.7,63.8,85.5,5.91
T004,Reports,42,26,1.5,55.4,7.2,19.53
T292,Reports,55,22,2.6,26.3,78.4,14.49
T091,Inventory,35,19,5.0,38.3,84.5,13.9
T197,Search,113,0,4.5,54.3,101.2,7.81
T315,Notifications,73,11,1.8,63.7,64.5,8.31
T428,Inventory,40,19,1.2,12.6,73.2,11.26
T404,Search,112,3,4.0,24.5,52.9,13.76
T109,Inventory,87,3,3.8,96.2,8.8,11.24
T274,Inventory,74,10,4.0,51.3,15.0,10.9
T412,Login,67,13,3.5,58.8,18.5,8.64
T206,Login,111,9,2.9,36.3,19.5,15.96
T291,Login,133,15,2.2,92.6,113.6,10.84
T021,Payments,21,12,2.3,42.8,29.1,4.45
T138,Search,97,29,2.5,12.7,66.1,16.21
T109,Inventory,112,14,3.1,62.1,,11.23
T415,Reports,137,20,3.2,40.9,58.7,15.12
T041,Inventory,118,12,3.3,37.6,43.4,7.84
T316,Orders,105,15,2.5,43.8,111.4,12.65
T089,Search,55,29,3.9,76.1,44.8,16.93
T221,Login,135,1,1.1,85.7,111.7,5.65
T372,Orders,85,26,4.4,49.8,51.7,14.78
T111,Login,129,11,3.6,32.3,51.1,11.18
T475,Reports,49,3,3.7,20.3,67.6,10.54
T283,Payments,99,19,1.7,17.6,9.5,10.67
T371,Orders,120,6,3.7,40.3,103.8,13.85
T457,Payments,74,23,1.5,47.6,77.5,11.44
T296,Dashboard,132,22,3.9,68.4,8.3,16.61
T302,Login,99,0,2.0,42.3,69.1,9.8
T408,Search,42,27,2.6,,98.0,19.46
T294,Orders,128,10,4.8,53.9,54.4,10.7
T425,Orders,147,15,1.9,90.2,104.1,12.69
T395,Reports,80,28,2.5,22.8,32.3,13.26
T396,Dashboard,124,24,3.8,82.0,72.8,16.93
T085,Orders,110,19,1.9,87.6,101.8,17.44
T280,Login,117,18,3.1,52.2,54.3,10.58
T135,Inventory,79,27,1.9,39.0,56.0,19.07
T485,Search,85,9,1.2,64.0,22.4,11.88
T488,Orders,130,3,1.3,26.9,55.6,5.34
T025,Login,79,3,3.1,49.7,85.9,8.79
T147,Reports,44,22,3.1,71.6,12.2,11.22
T422,Inventory,73,29,2.6,76.5,43.2,13.01
T409,Inventory,48,23,1.4,91.5,45.7,13.07
T465,Search,120,13,2.2,44.3,78.0,12.96
T409,Login,63,0,1.6,44.4,,7.91
T380,Inventory,94,15,4.4,71.6,108.1,17.9
T026,Login,99,8,2.8,35.6,63.5,11.21
T262,Notifications,135,26,2.4,55.8,93.4,18.42
T068,Orders,71,7,1.7,36.5,70.7,4.91
T227,Login,53,18,2.2,86.1,16.4,9.31
T207,Search,120,26,4.3,98.2,54.4,16.43
T159,Inventory,141,22,3.1,52.9,13.6,17.85
T234,Payments,120,21,4.1,96.9,104.8,14.96
T165,Orders,31,29,2.6,94.1,108.0,14.92
T181,Search,65,2,3.7,94.2,26.4,7.64
T017,Login,118,26,3.5,83.8,98.8,16.98
T072,Notifications,99,15,2.4,51.2,8.0,8.56
T114,Reports,53,10,1.8,55.0,112.6,6.17
T341,Notifications,142,25,4.5,82.6,67.5,21.8
T284,Inventory,134,22,2.7,86.0,30.9,12.05
T424,Login,123,3,4.5,18.2,99.5,15.9
T149,Inventory,24,22,1.4,23.1,112.1,14.44
T046,Payments,73,1,3.6,90.5,115.2,1.0
T276,Inventory,128,26,2.9,12.0,71.6,15.2
T143,Payments,31,25,3.1,32.5,42.1,15.07
T279,Login,47,28,4.4,53.8,12.2,18.18
T226,Reports,71,29,3.3,70.6,88.6,12.6
T196,Reports,29,24,5.0,88.7,33.2,11.57
T383,Orders,138,12,4.0,92.1,54.4,15.2
T333,Payments,65,2,3.6,79.7,59.2,2.66
T370,Dashboard,136,11,1.8,30.0,104.1,9.82
T074,Inventory,110,20,1.3,28.0,18.1,13.04
T470,Search,100,23,2.4,78.4,,12.83
T444,Dashboard,90,27,1.2,83.2,32.9,17.23
T423,Notifications,81,8,1.4,90.7,116.5,11.05
T072,Login,50,1,1.4,84.4,28.4,7.75
T269,Inventory,146,8,2.9,84.9,109.5,10.78
T334,Dashboard,52,28,3.6,46.2,34.6,17.16
T387,Notifications,141,6,3.9,72.4,74.3,9.19
T391,Search,50,7,4.4,74.5,66.9,5.55
T295,Dashboard,95,21,2.9,69.8,61.7,18.48
T025,Notifications,67,18,2.8,38.0,65.9,9.62
T028,Dashboard,83,1,1.9,71.5,18.8,7.6
T055,Reports,75,12,2.3,75.2,92.5,9.94
T178,Payments,81,4,2.4,74.6,59.8,5.26
T069,Reports,140,29,2.8,47.3,25.5,16.89
T363,Inventory,20,18,4.8,55.5,88.5,14.72
T408,Notifications,88,15,,67.1,55.0,8.34
T459,Inventory,75,18,4.6,12.4,114.6,15.46
T042,Dashboard,81,23,3.7,85.5,106.6,14.12
T381,Reports,122,2,2.1,75.8,100.9,4.56
T466,Notifications,54,26,2.1,36.2,25.7,9.97
T249,Inventory,39,23,3.4,98.1,25.7,10.18
T113,Search,106,8,,37.2,22.1,8.09
T200,Search,21,1,2.1,80.1,68.5,1.32
T025,Payments,135,27,3.2,37.3,57.3,16.9
T448,Orders,96,5,,99.6,28.5,7.9
T437,Login,88,17,3.2,40.1,79.3,13.61
T082,Payments,124,26,3.8,14.8,55.8,19.32
T498,Payments,140,16,3.4,67.3,35.9,12.77
T492,Reports,87,19,2.6,37.2,111.5,15.05
T026,Login,24,26,5.0,33.5,56.3,11.25
T185,Reports,114,21,3.3,94.2,28.6,11.63
T264,Inventory,37,0,3.0,88.1,15.3,1.2
T170,Orders,59,15,1.4,49.3,35.5,10.39
T145,Payments,63,24,2.1,45.3,115.9,12.45
T427,Reports,51,27,2.9,27.5,83.9,12.76
T012,Payments,125,15,,74.5,73.0,13.94
T410,Payments,67,3,4.9,55.2,79.6,10.79
T150,Orders,49,8,,20.3,50.3,8.29
T203,Search,87,29,1.2,68.8,83.6,11.51
T007,Notifications,23,28,1.7,40.9,47.7,14.75
T026,Inventory,28,3,2.6,80.3,104.6,4.84
T118,Payments,93,16,1.6,96.2,82.8,7.22
T238,Login,29,16,1.4,35.2,100.9,10.07
T277,Reports,119,23,1.5,67.8,70.0,14.09
T064,Reports,80,9,4.2,96.0,50.8,9.89
T124,Login,94,5,1.6,23.1,117.0,11.49
T445,Search,70,1,4.9,94.5,19.6,10.54
T110,Orders,52,29,3.4,15.6,45.6,19.12
T250,Reports,49,1,1.5,40.5,49.6,8.65
T346,Login,77,27,2.3,49.5,,14.73
T197,Orders,104,11,1.9,33.1,107.6,15.54
T217,Login,41,19,2.1,15.7,72.3,16.12
T296,Login,72,29,1.6,64.8,82.3,16.76
T495,Notifications,61,1,2.1,23.7,112.1,9.1
T204,Inventory,25,13,1.2,64.1,18.4,6.0
T206,Dashboard,136,18,5.0,12.2,,13.41
T444,Search,122,9,3.6,70.9,87.1,11.7
T422,Reports,122,12,3.4,54.1,94.2,15.55
T108,Login,125,18,2.8,79.1,55.7,18.67
T145,Payments,42,20,1.7,68.9,91.8,9.8
T083,Payments,120,11,2.1,48.9,90.6,9.58
T321,Login,78,8,3.1,93.3,30.5,5.1
T467,Login,42,29,2.2,70.1,118.2,15.22
T180,Reports,128,26,4.6,31.2,98.1,23.45
T012,Dashboard,36,26,4.3,28.5,107.1,15.87
T449,Orders,75,11,4.0,58.8,72.1,11.46
T301,Login,95,0,1.7,90.7,77.0,8.71
T465,Inventory,61,1,3.7,57.6,68.2,9.66
T468,Orders,144,17,4.0,66.1,116.9,15.62
T208,Orders,88,5,3.6,80.2,109.8,5.62
T250,Dashboard,51,21,2.2,84.9,19.9,10.92
T213,Payments,38,10,1.4,70.0,37.9,3.27
T111,Reports,119,28,3.5,34.4,85.7,20.62
T286,Dashboard,74,12,3.8,84.8,9.0,9.6
T293,Search,85,16,3.4,40.2,62.9,12.28
T212,Payments,142,16,1.2,31.7,62.9,10.58
T487,Login,32,15,1.4,27.0,66.3,8.02
T456,Notifications,64,2,1.5,70.6,35.7,2.6
T419,Login,33,27,4.8,26.6,8.3,12.25
T422,Payments,129,19,3.7,99.2,6.7,13.36
T250,Login,113,26,3.8,17.2,90.9,19.09
T169,Dashboard,78,23,4.6,11.4,20.6,11.93
T133,Search,109,11,3.9,12.1,37.0,13.22
T242,Inventory,63,14,4.6,84.7,,9.63
T100,Orders,132,12,1.9,94.4,55.8,12.74
T256,Inventory,59,27,2.7,57.1,103.4,18.13
T089,Payments,129,1,3.5,74.9,107.0,11.86
T218,Search,40,15,3.2,26.4,31.1,6.53
T383,Login,42,27,1.4,73.3,90.4,16.79
T035,Orders,104,13,4.2,67.2,40.0,13.73
T328,Reports,23,21,3.3,33.9,78.2,13.41
T193,Orders,113,21,2.4,49.4,9.7,10.89
T429,Login,55,26,4.9,23.7,75.7,19.95
T218,Orders,110,19,3.0,32.9,74.1,16.65
T271,Dashboard,132,23,4.4,77.8,111.6,19.22
T071,Dashboard,83,16,3.0,59.5,37.5,9.42
T367,Reports,91,25,3.7,24.1,112.6,15.67
T397,Dashboard,22,24,2.1,,46.6,9.14
T311,Payments,88,18,5.0,47.8,30.2,15.82
T178,Orders,25,12,3.6,45.9,81.9,22.37099268010436
T147,Reports,27,0,1.5,89.9,56.6,8.59
T089,Dashboard,142,23,1.2,17.0,47.8,17.58
T445,Payments,132,0,2.4,26.5,79.3,8.48
T225,Payments,119,6,4.5,36.6,58.6,13.28
T313,Dashboard,138,14,2.7,72.5,98.0,13.0
T350,Orders,45,17,3.9,84.3,117.9,15.86
T325,Search,137,15,2.0,15.8,48.1,15.59
T054,Reports,59,26,2.9,68.2,49.2,12.5
T135,Orders,22,22,2.7,28.2,31.5,9.55
T363,Orders,22,2,1.2,47.1,49.0,1.0
T324,Dashboard,112,9,3.6,93.8,38.2,12.9
T025,Dashboard,26,25,4.4,73.4,52.0,10.61
T484,Search,59,17,1.3,75.4,19.9,6.51
T001,Search,147,3,3.8,,14.2,10.76
T324,Notifications,61,5,2.3,31.0,95.3,2.67
T094,Notifications,42,29,4.5,85.8,29.5,14.2
T048,Inventory,143,28,1.9,84.5,82.9,19.27
T144,Search,111,23,2.6,47.0,87.1,18.69
T073,Inventory,96,28,1.7,96.2,69.4,14.41
T069,Reports,108,27,4.8,54.8,77.9,17.93
T445,Inventory,70,16,4.8,35.5,79.1,13.91
T476,Payments,108,13,3.0,58.1,31.7,13.68
T465,Login,56,2,4.0,14.0,45.2,4.92
T500,Payments,108,9,4.2,26.3,37.1,11.58
T114,Login,128,16,2.9,18.5,79.8,10.72
T212,Reports,71,11,1.6,10.1,25.2,9.94
T012,Reports,62,16,4.1,46.7,7.3,9.33
T045,Reports,94,13,3.7,20.9,56.2,10.33
T391,Inventory,126,24,2.1,97.5,35.2,16.98
T059,Inventory,60,27,4.3,77.4,23.7,15.5
T307,Dashboard,32,11,4.2,72.3,67.1,7.52
T419,Orders,88,7,2.8,74.8,53.8,9.3
T296,Dashboard,43,21,4.3,54.9,31.1,11.79
T072,Reports,121,22,2.6,13.3,53.0,17.17
T256,Login,112,0,4.0,11.7,26.6,9.6
T411,Search,125,10,,83.4,52.7,9.85
T348,Payments,139,15,2.9,35.9,110.8,15.98
T384,Payments,96,9,3.2,36.2,82.3,12.37
T188,Reports,123,26,4.8,79.4,115.7,13.31
T474,Login,74,15,4.2,86.0,92.4,16.01
T001,Payments,85,7,1.6,84.5,98.4,9.29
T343,Payments,33,9,1.1,36.3,51.6,5.7
T104,Orders,141,20,2.7,48.1,34.1,13.64
T271,Search,93,21,1.4,92.2,116.7,15.44
T348,Dashboard,23,23,2.6,21.9,10.6,7.68
T048,Payments,137,14,4.4,44.5,43.2,15.19
T331,Orders,108,1,4.4,33.4,30.6,3.5
T127,Inventory,39,24,2.6,10.7,103.7,13.65
T280,Login,110,23,2.0,83.3,11.3,14.55
T171,Login,70,22,3.4,64.1,24.0,11.6
T177,Dashboard,111,28,1.7,30.7,114.1,15.98
T027,Orders,99,26,1.2,33.0,89.7,18.08
T261,Notifications,121,7,4.5,64.2,60.9,10.85
T254,Login,147,26,2.6,35.5,80.0,12.8
T323,Reports,139,14,2.5,50.6,89.1,11.59
T172,Reports,132,1,3.2,77.3,87.3,9.09
T117,Notifications,24,7,1.8,89.9,48.0,3.85
T085,Notifications,26,8,3.5,,118.0,7.87
T107,Notifications,43,7,3.8,21.9,7.3,8.2
T121,Payments,127,8,2.9,29.2,100.5,7.56
T159,Inventory,67,18,4.3,96.6,50.2,13.4
T080,Reports,116,20,3.1,20.8,,17.13
T266,Dashboard,95,14,4.8,10.5,31.6,18.71
T335,Search,109,25,2.0,77.1,115.2,19.88
T050,Login,137,12,3.2,18.8,51.1,12.24
T285,Search,23,28,4.7,87.8,62.8,17.94
T218,Login,35,9,2.9,82.5,39.0,7.85
T419,Orders,145,27,4.0,21.2,42.6,18.63
T350,Notifications,60,26,2.5,55.0,14.4,14.46
T170,Login,98,19,4.5,98.5,21.8,14.73
T278,Search,111,5,1.2,23.4,40.3,10.97
T089,Dashboard,145,29,4.2,40.7,101.9,18.29
T247,Reports,86,10,3.4,83.9,40.7,7.43
T487,Reports,70,14,4.6,85.4,90.8,5.59
T003,Reports,99,28,1.9,26.5,8.1,13.95
T343,Login,97,24,1.0,90.0,46.5,13.87
T469,Search,81,9,3.8,46.8,116.1,10.2
T410,Dashboard,21,26,2.6,39.5,10.8,8.23
T131,Login,140,14,2.0,13.8,107.1,14.13
T179,Notifications,99,24,4.6,63.7,109.8,13.1
T178,Notifications,71,4,1.9,10.4,13.5,6.48
T064,Dashboard,127,21,1.6,56.0,92.8,14.83
T387,Inventory,27,22,2.3,83.0,31.0,9.82
T224,Search,101,4,1.1,,86.6,3.71
T116,Inventory,132,13,5.0,39.7,103.2,13.61
T126,Reports,100,24,2.5,66.0,32.1,15.07
T413,Dashboard,48,25,,42.7,90.8,19.16
T022,Orders,45,20,2.5,18.9,118.8,11.72
T447,Inventory,73,21,1.9,74.1,83.3,13.25
T435,Orders,120,3,2.3,23.0,70.6,8.85
T356,Login,97,16,4.6,84.0,108.2,16.33
T309,Dashboard,75,21,2.5,70.3,23.5,8.32
T185,Payments,92,25,1.2,93.4,88.6,14.68
T006,Reports,94,15,2.9,17.8,67.9,12.72
T043,Dashboard,137,5,2.7,43.6,61.6,11.1
T339,Login,76,9,2.6,15.4,58.4,7.27
T204,Search,112,11,4.8,20.6,7.1,13.6
T279,Dashboard,64,28,3.5,47.1,30.6,15.32
T234,Inventory,124,22,2.7,18.7,75.7,16.88
T035,Search,144,20,2.4,59.4,11.8,14.83
T049,Login,41,8,2.2,65.3,30.0,2.42
T118,Notifications,30,15,1.5,21.9,93.2,8.64
T189,Notifications,91,28,1.6,48.0,67.2,14.94
T457,Reports,79,16,1.8,11.4,89.3,11.45
T138,Notifications,72,26,2.1,12.3,71.5,12.92
T224,Notifications,37,6,1.8,30.7,15.9,2.71
T097,Payments,33,13,1.5,76.7,35.9,5.61
T175,Payments,61,13,2.0,44.4,66.8,7.5
T444,Reports,84,22,1.0,30.7,74.9,12.46
T361,Inventory,41,4,2.4,,112.2,8.98
T180,Dashboard,78,2,2.4,28.9,70.1,2.35
T176,Inventory,31,23,2.3,75.1,,13.26
T261,Payments,62,23,1.7,65.0,95.7,18.53
T444,Orders,56,10,2.0,93.0,6.0,7.37
T037,Payments,141,24,3.2,69.3,97.6,18.92
T368,Orders,115,8,1.1,78.0,118.1,12.0
T419,Dashboard,149,13,4.0,25.9,12.2,10.86
T381,Inventory,126,9,3.1,65.4,11.0,10.23
T373,Login,145,27,1.5,81.3,95.9,14.22
T363,Search,48,22,2.9,52.3,98.9,18.03
T099,Payments,143,17,5.0,61.8,9.5,13.24
T491,Inventory,47,11,2.0,78.4,95.0,8.19
T374,Payments,70,14,4.5,57.5,118.9,7.76
T338,Dashboard,92,28,,74.3,5.1,13.32
T137,Login,86,10,4.0,18.3,81.7,13.33
T357,Dashboard,141,26,4.1,60.1,28.1,16.08
T224,Search,29,16,2.3,78.1,78.3,10.98
T189,Dashboard,76,1,4.6,25.5,64.0,9.4
T047,Login,90,25,2.6,75.7,,15.52
T148,Search,131,17,2.0,50.1,11.9,13.11
T398,Login,114,26,3.6,41.1,17.2,20.06
T420,Orders,64,25,3.6,84.8,70.5,14.7
T143,Login,108,22,3.1,19.0,68.1,13.03
T378,Notifications,91,27,4.7,54.2,109.1,20.94
T391,Orders,79,12,4.1,47.4,55.3,12.31
T108,Orders,21,0,,60.3,32.1,1.72
T237,Orders,70,11,2.9,94.6,106.8,6.85
T409,Search,142,29,2.5,56.4,36.0,21.12
T416,Notifications,58,19,1.5,24.9,86.7,15.01
T010,Reports,134,24,1.9,20.9,102.2,18.87
T160,Inventory,30,25,1.5,71.5,57.7,9.74
T141,Orders,60,2,3.7,47.4,119.3,5.18
T433,Dashboard,40,3,4.1,17.3,88.9,3.8
T113,Payments,70,21,2.2,51.4,81.3,11.51
T244,Dashboard,96,24,4.9,47.8,21.5,19.24
T076,Payments,116,25,1.8,35.9,35.0,14.43
T282,Payments,82,29,4.6,10.4,48.2,19.07
T086,Notifications,54,12,1.2,92.2,113.5,9.86
T319,Notifications,83,24,2.5,62.9,86.7,14.5
T150,Notifications,97,7,3.0,33.7,31.0,8.0
T462,Notifications,67,23,1.5,73.7,106.7,17.96
T069,Payments,83,1,4.1,14.4,106.5,8.4
T119,Inventory,36,0,2.9,39.6,48.8,5.52
T148,Dashboard,129,21,2.5,22.4,35.1,14.5
T451,Reports,126,23,2.1,38.9,53.4,14.39
T327,Search,33,22,4.2,15.9,22.1,12.65
T202,Notifications,76,13,1.7,44.2,26.2,14.1
T434,Notifications,144,28,2.0,48.4,21.1,18.98
T412,Search,75,19,2.7,92.3,100.0,10.25
T420,Inventory,107,28,1.3,25.5,82.1,15.69
T162,Notifications,37,4,1.8,26.0,119.2,5.71
T171,Payments,86,10,3.6,42.4,104.6,9.41
T125,Login,126,12,1.3,91.9,62.6,6.4
T034,Dashboard,41,21,2.4,30.8,72.1,14.01
T350,Orders,137,1,2.8,94.4,44.6,7.08
T249,Search,21,19,1.3,59.4,80.6,5.1
T250,Payments,29,13,2.9,12.9,40.2,10.19
T040,Payments,92,9,1.7,49.1,17.1,8.88
T193,Payments,146,23,2.8,64.5,99.6,16.23
T490,Search,84,6,1.1,14.5,84.9,11.05
T002,Dashboard,72,15,2.1,53.8,40.8,9.01
T115,Payments,84,0,4.5,16.6,63.0,5.57
T382,Payments,94,24,3.0,77.1,46.1,16.37
T366,Reports,60,2,4.9,32.8,93.7,4.6
T059,Login,111,4,2.6,,110.1,14.62
T402,Inventory,24,11,4.5,92.5,106.8,5.39
T128,Orders,132,0,1.3,26.8,106.2,6.0
T316,Inventory,64,10,4.2,46.5,94.4,12.91
T456,Payments,32,4,3.0,83.3,118.1,7.88
T492,Notifications,80,15,1.9,32.8,83.1,12.51
T130,Orders,38,15,3.7,15.1,115.6,8.01
T408,Dashboard,38,17,1.9,43.5,118.9,8.41
T489,Search,54,13,2.3,11.2,94.0,12.7
T496,Reports,72,3,2.8,42.4,111.8,6.92
T337,Inventory,113,15,2.6,63.5,82.4,11.11
T283,Search,87,19,1.1,21.8,6.3,13.51
T422,Orders,100,8,2.8,11.8,47.9,10.61
T419,Dashboard,46,26,2.5,27.9,,11.81
T004,Login,75,19,2.6,42.6,90.7,16.96
T334,Dashboard,78,2,2.7,51.5,55.6,4.4
T021,Payments,106,23,3.0,19.2,,11.67
T129,Notifications,40,21,3.6,52.0,39.6,9.68
T486,Notifications,135,5,3.8,65.6,69.6,9.88
T191,Search,89,18,4.4,89.6,101.0,16.09
T158,Dashboard,96,20,2.8,32.9,106.6,12.37
T304,Dashboard,73,10,4.8,37.7,72.4,15.47
T177,Login,129,19,4.1,52.8,30.3,15.22
T383,Inventory,125,4,1.3,36.8,22.5,9.01
T245,Dashboard,85,6,,97.3,7.6,11.98
T474,Notifications,106,20,1.8,56.4,19.9,13.98
T306,Orders,122,4,3.4,13.3,21.8,10.42
T274,Orders,126,6,3.0,60.0,72.9,11.57
T343,Notifications,51,2,2.1,93.9,43.8,3.47
T048,Inventory,115,12,3.4,91.0,83.6,9.06
T108,Inventory,91,26,,49.4,7.1,12.7
T232,Login,99,19,2.3,,95.8,13.43
T050,Search,135,24,4.9,74.0,81.4,16.51
T192,Orders,79,6,1.1,54.5,99.0,8.18
T032,Notifications,56,17,1.9,34.7,60.4,8.07
T292,Notifications,83,15,1.8,18.1,71.4,10.38
T057,Inventory,74,28,4.8,34.6,16.3,19.06
T364,Notifications,102,0,1.1,99.4,74.4,10.5
T212,Reports,25,18,4.0,60.2,50.1,12.03
T200,Notifications,100,25,2.3,30.7,17.2,16.73
T457,Dashboard,116,7,2.4,89.9,10.1,13.01
T140,Notifications,90,27,1.2,61.7,46.3,14.86
T027,Reports,81,13,4.0,31.0,65.2,9.69
T101,Notifications,144,6,4.9,84.9,38.8,8.94
T003,Inventory,119,22,3.5,56.8,61.6,17.94
T017,Dashboard,144,3,4.3,70.8,66.7,15.08
T001,Search,131,29,3.7,77.6,71.7,14.56
T435,Search,44,14,4.1,63.1,48.7,8.64
T247,Orders,24,22,3.8,83.8,107.9,9.18
T137,Notifications,76,10,2.1,94.5,96.4,6.64
T464,Inventory,147,20,3.6,40.4,51.4,12.91
T130,Payments,62,2,2.2,53.6,48.1,5.44
T386,Notifications,25,22,2.2,23.0,,13.67
T171,Login,103,2,4.2,17.0,34.1,12.97
T413,Inventory,71,0,2.6,28.9,42.3,9.02
T475,Orders,114,20,5.0,88.7,54.0,12.55
T361,Payments,141,29,2.9,72.7,112.0,15.73
T292,Dashboard,101,21,4.5,76.2,28.1,18.99
T111,Inventory,28,11,2.7,30.5,,8.52
T214,Inventory,125,2,2.8,58.2,57.1,8.22
T280,Search,142,11,3.6,99.1,93.8,15.58
T449,Search,68,6,3.5,72.6,101.7,4.83
T405,Dashboard,66,9,4.5,29.6,100.6,14.72
T406,Search,74,7,1.4,34.2,65.5,4.39
T113,Dashboard,97,25,4.4,49.9,48.4,9.74
T300,Reports,34,5,4.2,21.9,10.0,6.76
T422,Dashboard,29,28,2.4,53.4,69.6,16.05
T346,Notifications,57,21,3.0,60.6,14.3,9.27
T246,Payments,26,16,3.5,73.1,9.9,6.35
T289,Orders,99,6,4.4,74.3,21.0,5.08
T451,Search,101,24,1.5,68.2,53.5,17.45
T387,Inventory,85,16,1.6,62.8,26.7,8.3
T256,Payments,46,3,1.6,20.0,62.2,3.69
T362,Dashboard,55,29,2.1,76.6,86.5,13.69
T387,Orders,48,14,3.7,59.0,75.6,8.13
T129,Dashboard,112,0,2.6,44.9,108.6,6.1
T091,Payments,99,24,4.8,33.8,20.1,13.45
T091,Reports,119,4,2.0,43.7,,10.57
T313,Payments,63,0,1.2,22.5,95.6,6.18
T327,Inventory,122,6,3.3,73.0,35.2,10.67
T438,Notifications,26,8,,39.1,100.6,9.51
T108,Notifications,47,15,1.1,50.4,80.8,5.6
T039,Dashboard,129,1,3.2,89.8,107.4,11.16
T218,Reports,24,18,2.3,50.1,119.9,9.18
T031,Dashboard,72,6,3.6,14.4,79.0,9.13
T149,Dashboard,125,0,2.4,82.5,35.4,3.93
T248,Login,86,3,3.0,33.6,113.4,8.82
T277,Search,79,3,4.9,88.2,119.4,7.26
T175,Notifications,78,27,1.8,74.1,45.3,14.84
T021,Search,95,25,1.3,61.4,70.1,9.47
T266,Search,113,10,4.0,47.4,114.8,10.44
T008,Search,92,6,2.2,12.8,63.5,11.63
T195,Login,77,15,1.6,52.1,80.5,10.56
T104,Payments,80,14,2.8,66.9,83.8,11.19
T382,Inventory,141,13,3.8,45.1,73.7,18.85
T101,Inventory,63,29,4.5,81.6,97.9,18.45
T359,Notifications,46,27,2.8,57.6,94.0,15.69
T274,Orders,35,17,1.5,89.3,116.3,9.54
T066,Login,81,11,,55.8,93.5,13.74
T198,Search,20,11,1.2,86.1,95.4,5.39
T392,Inventory,56,9,4.1,62.4,73.8,13.22
T430,Login,73,2,3.5,81.4,71.4,6.28
T275,Inventory,137,7,1.9,36.4,74.6,9.14
T202,Notifications,78,14,1.3,77.1,98.4,5.0
T030,Inventory,101,15,2.5,17.1,102.8,13.37
T326,Inventory,130,10,4.1,86.7,39.1,11.19
T220,Search,83,14,4.2,58.8,40.0,11.89
T053,Notifications,45,26,3.5,19.5,39.0,14.82
T229,Inventory,26,9,4.4,68.5,96.4,8.41
T476,Notifications,115,7,1.2,10.7,92.5,11.31
T313,Inventory,125,8,1.5,86.2,95.3,13.3
T434,Reports,124,1,,95.5,54.7,8.68
T050,Login,141,28,1.5,87.7,32.5,16.85
T171,Reports,74,13,3.2,98.1,13.7,9.45
T271,Dashboard,82,23,4.4,59.7,93.4,12.94
T022,Reports,103,9,2.1,93.5,69.7,12.44
T272,Search,146,19,2.6,29.3,23.0,16.63
T034,Orders,49,18,2.0,18.4,54.3,6.16
T188,Inventory,107,26,4.7,38.9,31.3,15.5
T368,Reports,140,21,1.7,17.2,103.8,15.65
T234,Reports,115,10,3.1,15.3,67.8,8.12
T395,Dashboard,62,9,4.9,49.3,50.6,15.32
T033,Reports,48,14,2.7,97.8,90.5,6.87
T346,Inventory,100,16,1.2,94.0,47.6,9.15
T437,Notifications,129,0,3.8,78.4,56.8,7.41
T285,Login,111,26,2.9,92.5,119.3,21.85
T047,Payments,107,17,3.1,61.2,31.3,15.18
T266,Payments,77,20,2.8,42.2,46.6,13.57
T227,Inventory,38,16,4.1,62.7,64.7,9.75
T230,Login,85,29,4.3,14.2,107.6,21.93
T072,Search,84,13,1.6,88.2,38.0,9.81
T465,Dashboard,46,24,2.4,53.0,65.3,11.02
T090,Reports,69,1,3.8,47.8,25.2,9.08
T339,Search,32,8,4.5,,76.4,10.61
T338,Orders,83,27,1.7,95.4,59.6,17.63
T137,Notifications,53,12,4.6,67.1,83.8,10.71
T489,Search,102,13,2.2,34.0,48.5,12.24
T008,Reports,44,14,4.1,66.3,24.8,8.21
T438,Payments,55,0,4.2,77.6,109.3,8.36
T321,Reports,128,26,1.6,22.7,50.6,19.43
T090,Search,31,15,3.0,72.4,62.1,5.69
T152,Orders,80,11,2.6,97.8,77.6,6.66
T117,Dashboard,134,5,1.6,76.8,18.6,9.04
T247,Inventory,130,21,3.3,54.5,50.2,16.62
T119,Reports,123,14,5.0,91.6,106.0,15.98
T121,Search,73,12,4.0,95.1,58.5,11.61
T217,Notifications,76,23,2.5,83.0,22.8,12.8
T403,Notifications,122,15,1.9,50.1,45.0,11.2
T468,Reports,23,29,2.9,89.4,29.2,17.51
T324,Login,103,3,1.8,92.7,52.3,6.37
T136,Payments,56,0,1.0,25.7,54.1,5.03
T186,Orders,76,28,4.1,25.2,77.9,18.41
T382,Payments,28,15,3.2,57.5,40.6,5.2
T466,Login,39,13,3.3,45.2,41.6,15.18
T363,Payments,105,12,4.9,60.0,59.1,10.24
T246,Dashboard,121,24,3.8,58.7,79.7,15.44
T125,Login,114,16,1.5,35.0,101.2,14.88
T351,Login,129,14,1.7,69.4,17.4,6.66
T346,Dashboard,127,7,4.0,36.6,37.0,12.37
T480,Reports,35,24,4.0,75.9,106.4,13.15
T329,Dashboard,45,19,2.1,73.5,11.2,6.3
T209,Dashboard,29,8,2.0,60.5,119.2,6.47
T056,Inventory,69,6,3.9,19.2,91.0,8.51
